Altium Designer Pick and Place Locations
C:\Users\Mustafa\Desktop\EEM\ALTIUM DESIGNER\PCB BOWTIE\Mustafa_oguz_pcb\Project Outputs for Mustafa_oguz_pcb\Pick Place for Mustafa_oguz_pcb.txt

========================================================================================================================
File Design Information:

Date:       13.04.24
Time:       22:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                  
D8         1N4148WS                TopLayer    SOD323F                854.331       1897.638      90       "Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                     
X2         ABS05-32.768KHZ-T       TopLayer    ABS05                  1594.488      976.378       90       "Crystal, 32.768 kHz, SMD, 1.6mm x 1mm, 12.5 pF, 20 ppm, ABS05 Series"                       
X1         ECS-160-20-30B-TR       TopLayer    ECS                    1910.001      1542.113      45       "CRYSTAL 16.0000MHZ 20PF SMD"                                                                
USB1       10118192-0001LF         TopLayer    MICRO_B_USB            2188.976      136.811       0        "CONN RCPT USB2.0 MICRO B SMD R/A"                                                           
U9         OPA314AIDBVR            BottomLayer SOT23-5                3322.834      153.543       0        "Op Amp OPA314"                                                                              
U8         NCS36000DRG             BottomLayer SOIC14                 3303.149      763.779       180      "PIR Controller Low Noise Amplifiers and LDO Regulator 14-Pin SOIC N T/R"                    
u7         "ESP32-WROOM-32E (4mb)" TopLayer    ESP32-32               681.693       618.110       90       "SMD module, ESP32-D0WD-V3, ESP32 ECO V3, 4 MB SPI flash, PCB antenna"                       
U6         MAX6662                 TopLayer    SOIC-8                 2456.693      960.630       270      "SENSOR TEMPERATURE SPI 8SOIC"                                                               
U5         USBLC6-2SC6             TopLayer    SOT23-6L               2202.756      345.472       270      "TVS DIODE 5.25V 17V SOT23-6"                                                                
U4         M41T00M6F               TopLayer    SOIC-8                 1811.024      929.134       270      "Real-time Clocks Clock/Calendar I2C, 2-Wire Serial 70uA @ 2V ~ 5.5V SOIC-8_150mil RoHS"     
U3         STM32F103C6T6A          TopLayer    LQFP-48                2265.748      1515.945      270      "MCU 32-bit STM32F ARM Cortex M3 RISC 32KB Flash 2.5V/3.3V 48-Pin LQFP T/R"                  
